,도서관명,위도,경도,시군구명,소재지도로명주소,운영기관명,동
469,향기나무도서관,37.6235883764,127.0687815367,노원구　,서울특별시 노원구 마들로 86(월계동 1-1),노원구구립도서관,마들로
470,공릉도서관,37.6235883764,127.0687815367,노원구　,서울특별시 노원구 마들로 86(월계동 1-1),노원구구립도서관,마들로
471,월계어린이도서관,37.6235883764,127.0687815367,노원구　,서울특별시 노원구 마들로 86(월계동 1-1),노원구구립도서관,마들로
472,꿈꾸는작은도서관,37.6199913215,127.0628835944,노원구　,서울특별시 노원구 석계로 59 (월계동 928),노원구구립도서관,석계로
473,달내작은도서관,37.632510053800004,127.0507811632,노원구　,서울특별시 노원구 초안산로5길 28(월계동 777번지),노원구구립도서관,초안산로5길
474,도란도란작은도서관,37.6247782832,127.0737487566,노원구　,서울특별시 노원구 동일로186길 3-24(공릉동 499-25),노원구구립도서관,동일로186길
475,책이랑친구랑작은도서관,37.621286854000004,127.08337804879999,노원구　,서울특별시 노원구 노원로1길 68(공릉동 87-7),노원구구립도서관,노원로1길
476,가재울작은도서관,37.6405606854,127.0725588183,노원구　,서울특별시 노원구 노원로 261(하계동 251-2),노원구구립도서관,노원로
477,열린작은도서관,37.6320437141,127.0679509873,노원구　,서울특별시 노원구 공릉로55길 88(하계동 273-2),노원구구립도서관,공릉로55길
478,책누리작은도서관,37.6478031949,127.08028476700001,노원구　,서울특별시 노원구 중계로 143(중계동 363-4),노원구구립도서관,중계로
479,책사랑북카페,37.6525478478,127.0774749928,노원구　,서울특별시 노원구 한글비석로 279(중계동 359-5),노원구구립도서관,한글비석로
480,하늘작은도서관,37.6421306904,127.06873064610001,노원구　,서울특별시 노원구 노원로 17길 56(중계동 511-1),노원구구립도서관,노원로
481,중계사랑북카페,37.6587642944,127.07797557090001,노원구　,서울특별시 노원구 덕릉로82길 50(중계동 369-2),노원구구립도서관,덕릉로82길
482,푸른숲작은도서관,37.6799286708,127.05496252379999,노원구　,서울특별시 노원구 동일로 1697(상계동 1259),노원구구립도서관,동일로
484,파랑새작은도서관,37.6574839423,127.06786537100001,노원구　,서울특별시 노원구 상계로 118 (상계2동 공공복합청사 2층),노원구구립도서관,상계로
485,수락작은도서관,37.6729096975,127.08323627700001,노원구　,서울특별시 노원구 덕릉로 859(상계동 37-7),노원구구립도서관,덕릉로
486,해솔작은도서관,37.662979056,127.0693664138,노원구　,서울특별시 노원구 한글비석로 434(상계동 167-2),노원구구립도서관,한글비석로
487,메아리작은도서관,,,노원구　,서울특별시 노원구 노해길 183(상계6.7동 701-1),노원구구립도서관,노해길
488,반디작은도서관,37.6667362667,127.0515525307,노원구　,서울특별시 노원구 동일로227길 97(상계동 658),노원구구립도서관,동일로227길
489,한울작은도서관,37.6645210633,127.0638187842,노원구　,서울특별시 노원구 한글비석로 487(상계동 682),노원구구립도서관,한글비석로
490,가온작은도서관,37.6612866101,127.0602618665,노원구　,서울특별시 노원구 노원로 530(상계동 671),노원구구립도서관,노원로
491,노원문화원,37.6287990843,127.06980136709998,노원구　,서울특별시 노원구 동일로 197길 24(공릉동 710번지),노원구구립도서관,동일로
492,상계숲속작은도서관,37.6667362667,127.0515525307,노원구　,서울특별시 노원구 동일로 227길 97(상계동 658),노원구구립도서관,동일로
493,초안산숲속작은도서관,37.632080144,127.04442759770001,노원구　,서울특별시 노원구 덕릉로 60길 199 (월계2동 905-12),노원구구립도서관,덕릉로
494,한내행복발전소,37.6265077394,127.06197830459999,노원구　,서울특별시 노원구 마들로3길 15(월계이마트 부지),노원구구립도서관,마들로3길
495,육사작은도서관,37.6201219612,127.08941637299999,노원구　,서울특별시 노원구 화랑로 564(육사아파트 복지동내),-,화랑로
496,KB국민은행과 함께하는 나무작은도서관,,,노원구　,서울특별시 노원구 동일로 1405 (KB국민은행 노원 지점 1층),노원구구립도서관,동일로
593,꿈나무도서관,37.4898783759,126.886559298,구로구,"서울특별시 구로구 구로동로26길 54, 2층 (구로구시설관리공단)",구로문화원,구로동로26길
594,꿈마을도서관,37.487167,126.890156,구로구,서울특별시 구로구 디지털로27다길 65 (2층),구로문화원,디지털로27다길
595,구로구립온누리도서관,37.497461240999996,126.88655235200001,구로구,"서울특별시 구로구 구로중앙로27나길 9, 4층 (온누리관)",구로문화원,구로중앙로27나길
