,정류장명,위도,경도,표준ID,ARS-ID
341,종로센트레빌후문.e편한세상보문아파트,37.5818978359,127.01623537110001,100900173,1855
342,통일부,37.5875308468,126.9861073451,100900172,1856
343,서울국제고등학교,37.5890742944,126.9971407875,100900171,1858
344,성대후문.와룡공원,37.5891522774,126.989734001,100900203,1860
345,상명초등학교,37.600904926,126.9568173576,100900170,1861
346,새마을금고,37.5878406881,126.9965690016,100900169,1862
347,경진빌라,37.601864091100005,126.9579482257,100900002,1863
348,명륜시장.성대후문,37.5887246101,126.99523051620001,100900004,1864
349,완성빌라,37.6033399708,126.9576665157,100900006,1865
350,양현관,37.5897680031,126.9937685575,100900008,1866
351,상명대후문,37.6040715802,126.9574633677,100900010,1868
352,샘미용실,37.5902545716,126.9934084203,100900012,1869
353,산정빌라,37.6052835831,126.9575782035,100900014,1870
354,문방구,37.6061334517,126.95798093350001,100900018,1872
355,마트앞,37.606698706399996,126.958756466,100900019,1873
356,국민은행.세검정지점,37.6048873133,126.96078595450001,100900022,1874
357,화정박물관,37.604859104,126.96568673200001,100900023,1875
358,혜화역4번출구,37.5834632357,127.0014561074,100900027,1876
359,방송통신대앞,37.5786973612,127.0019926794,100900028,1877
360,서울대치과대학,37.5773060748,126.99787489219999,100900030,1878
361,효제초교.연동교회.김마리아활동터,37.5736413355,127.00220878110001,100900033,1879
362,성균관대학교,37.5884638684,126.99000359530001,100900204,1881
363,독립문역,37.5732838531,126.9594077577,100900214,1882
364,서울대치과대학,37.5776016307,126.9977741191,100900038,1883
365,이화사거리,37.576948343699996,127.0020084833,100900043,1886
366,서울대학교병원현관.암병원현관,37.5789514712,126.99815676530001,100900042,1887
367,종각.공평유적전시관,37.5715937879,126.9832427053,100900211,1888
368,조계사,37.5738654222,126.9831199261,100900213,1889
369,인사동.아벤트리호텔,37.5730319178,126.983156342,100000375,1893
370,세종문화회관,37.5722306242,126.9765653997,100000374,1894
371,JW메리어트동대문호텔,37.5703018655,127.0094731042,100000399,1901
372,대학로,37.58189612,127.00212041639999,100000407,1902
373,창경궁,37.5791596347,126.9964163097,100000408,1903
374,창덕궁,37.577530170799996,126.9901776043,100000409,1904
375,인사동.북촌,37.5758950223,126.98379778729999,100000410,1905
376,경복궁.국립민속박물관,37.5802042819,126.9797957358,100000411,1906
377,세종문화회관,37.5711271958,126.97646443219999,100000412,1907
378,통인시장,37.5791187605,126.97133157270001,100000401,1910
379,세종문화회관,37.572102694899996,126.97640986530001,100000402,1911
380,종각역,37.5693799579,126.98289441709998,101000313,1912
381,인사동.탑골공원,37.5701155367,126.98880064129999,100000403,1913
382,종묘.세운상가,37.5703739329,126.99419500319999,100000404,1914
383,광장시장,37.5706237295,126.9996734151,100000405,1915
384,동묘.숭인동도깨비시장,37.5734766013,127.0180439092,100000406,1916
385,서울풍물시장,37.5733400255,127.0231780999,105000553,1917
386,청와대,37.582684814000004,126.9737600308,100000400,1918
387,남대문세무서.서울백병원,37.5649848069,126.9875299251,101000001,2001
388,서울백병원.국가인권위.안중근활동터,37.5643504711,126.9878515151,101000002,2002
389,서울역버스환승센터,37.5550251461,126.9723557945,101000003,2003
390,서울역버스환승센터,37.5554748264,126.9725027692,101000004,2004
391,서울역버스환승센터,37.5553876977,126.9727617448,101000005,2005
392,서울역버스환승센터,37.5554794133,126.9728547738,101000006,2006
393,서울역버스환승센터.강우규의거터,37.5554839786,126.9731162301,101000007,2007
394,숭례문,37.5586388574,126.97377839040001,101000008,2008
395,서울시청,37.5661382638,126.9806320857,101000303,2100
396,만리동고개,37.551787064,126.9626582054,101000009,2101
397,손기정체육공원입구,37.5544459527,126.96623390129999,101000010,2102
398,경기여상입구.서울역서부,37.5565519034,126.96793929729999,101000011,2103
399,서울역서부,37.5563255909,126.96937624379999,101000012,2104
400,서울역서부,37.556997906999996,126.96927728629998,101000013,2105
401,중림동교차로,37.5583836266,126.96913543950001,101000014,2106
402,종근당.충정로역,37.5595131906,126.964480544,101000015,2107
403,한국경제신문사,37.560211149699995,126.96786801489999,101000016,2108
